Interval,TIME,AGC MW,Raw ECOBP,Energy RR at AGC MW (MW/min),RR MW/10sec,Ramped EcoBP,Fleet TREG,Fleet Regulation Control Signal
1,0:00:00,1.30,0,999999,166666.50,20,2000,0.65
2,0:00:10,0.65,0,999999,166666.50,20,2000,-0.36
3,0:00:20,-0.36,0,999999,166666.50,20,2000,-1.20
4,0:00:30,-1.20,0,999999,166666.50,20,2000,-2.18
5,0:00:40,-2.18,0,999999,166666.50,20,2000,-3.34
6,0:00:50,-3.34,0,999999,166666.50,20,2000,-4.10
7,0:01:00,-4.10,0,999999,166666.50,20,2000,-4.62
8,0:01:10,-4.62,0,999999,166666.50,20,2000,-4.70
9,0:01:20,-4.70,0,999999,166666.50,20,2000,-5.83
10,0:01:30,-5.83,0,999999,166666.50,20,2000,-5.65
11,0:01:40,-5.65,0,999999,166666.50,20,2000,-5.32
12,0:01:50,-5.32,0,999999,166666.50,20,2000,-5.49
13,0:02:00,-5.49,0,999999,166666.50,20,2000,-5.89
14,0:02:10,-5.89,0,999999,166666.50,20,2000,-7.14
15,0:02:20,-7.14,0,999999,166666.50,20,2000,-8.91
16,0:02:30,-8.91,0,999999,166666.50,20,2000,-10.93
17,0:02:40,-10.93,0,999999,166666.50,20,2000,-12.33
18,0:02:50,-12.33,0,999999,166666.50,20,2000,-11.50
19,0:03:00,-11.50,0,999999,166666.50,20,2000,-10.29
20,0:03:10,-10.29,0,999999,166666.50,20,2000,-8.13
21,0:03:20,-8.13,0,999999,166666.50,20,2000,-6.47
22,0:03:30,-6.47,0,999999,166666.50,20,2000,-4.65
23,0:03:40,-4.65,0,999999,166666.50,20,2000,-3.49
24,0:03:50,-3.49,0,999999,166666.50,20,2000,-3.34
25,0:04:00,-3.34,0,999999,166666.50,20,2000,-3.30
26,0:04:10,-3.30,0,999999,166666.50,20,2000,-2.76
27,0:04:20,-2.76,0,999999,166666.50,20,2000,-1.16
28,0:04:30,-1.16,0,999999,166666.50,20,2000,0.01
29,0:04:40,0.01,0,999999,166666.50,20,2000,0.82
30,0:04:50,0.82,0,999999,166666.50,20,2000,1.24
31,0:05:00,1.24,0,999999,166666.50,20,2000,1.65
32,0:05:10,1.65,0,999999,166666.50,20,2000,2.05
33,0:05:20,2.05,0,999999,166666.50,20,2000,2.37
34,0:05:30,2.37,0,999999,166666.50,20,2000,2.91
35,0:05:40,2.91,0,999999,166666.50,20,2000,1.87
36,0:05:50,1.87,0,999999,166666.50,20,2000,1.46
37,0:06:00,1.46,0,999999,166666.50,20,2000,1.26
38,0:06:10,1.26,0,999999,166666.50,20,2000,1.08
39,0:06:20,1.08,0,999999,166666.50,20,2000,1.23
40,0:06:30,1.23,0,999999,166666.50,20,2000,1.53
41,0:06:40,1.53,0,999999,166666.50,20,2000,2.62
42,0:06:50,2.62,0,999999,166666.50,20,2000,3.19
43,0:07:00,3.19,0,999999,166666.50,20,2000,3.24
44,0:07:10,3.24,0,999999,166666.50,20,2000,3.35
45,0:07:20,3.35,0,999999,166666.50,20,2000,3.52
46,0:07:30,3.52,0,999999,166666.50,20,2000,3.36
47,0:07:40,3.36,0,999999,166666.50,20,2000,2.88
48,0:07:50,2.88,0,999999,166666.50,20,2000,1.85
49,0:08:00,1.85,0,999999,166666.50,20,2000,1.01
50,0:08:10,1.01,0,999999,166666.50,20,2000,0.31
51,0:08:20,0.31,0,999999,166666.50,20,2000,-0.73
52,0:08:30,-0.73,0,999999,166666.50,20,2000,-1.26
53,0:08:40,-1.26,0,999999,166666.50,20,2000,-1.73
54,0:08:50,-1.73,0,999999,166666.50,20,2000,-2.08
55,0:09:00,-2.08,0,999999,166666.50,20,2000,-3.08
56,0:09:10,-3.08,0,999999,166666.50,20,2000,-3.87
57,0:09:20,-3.87,0,999999,166666.50,20,2000,-4.27
58,0:09:30,-4.27,0,999999,166666.50,20,2000,-5.03
59,0:09:40,-5.03,0,999999,166666.50,20,2000,-5.96
60,0:09:50,-5.96,0,999999,166666.50,20,2000,-6.65
61,0:10:00,-6.65,0,999999,166666.50,20,2000,-7.25
62,0:10:10,-7.25,0,999999,166666.50,20,2000,-8.04
63,0:10:20,-8.04,0,999999,166666.50,20,2000,-8.61
64,0:10:30,-8.61,0,999999,166666.50,20,2000,-7.88
65,0:10:40,-7.88,0,999999,166666.50,20,2000,-6.72
